state,county,candidate,party,total_votes,won
Maine,Avon,Joe Biden,DEM,96,FALSE
Maine,Avon,Jo Jorgensen,LIB,2,FALSE
Maine,Avon,Howie Hawkins,GRN,1,FALSE
Maine,Avon,Rocky De La Fuente,ALI,0,FALSE
Maine,Avon, Write-ins,WRI,0,FALSE
Maine,Carrabassett Valley,Joe Biden,DEM,348,TRUE
Maine,Carrabassett Valley,Donald Trump,REP,164,FALSE
Maine,Carrabassett Valley,Jo Jorgensen,LIB,10,FALSE
Maine,Carrabassett Valley,Howie Hawkins,GRN,5,FALSE
Maine,Carrabassett Valley,Rocky De La Fuente,ALI,0,FALSE
Maine,Carrabassett Valley, Write-ins,WRI,0,FALSE
Maine,Carthage,Donald Trump,REP,214,TRUE
Maine,Carthage,Joe Biden,DEM,88,FALSE
Maine,Carthage,Jo Jorgensen,LIB,6,FALSE
Maine,Carthage,Howie Hawkins,GRN,4,FALSE
Maine,Carthage,Rocky De La Fuente,ALI,0,FALSE
Maine,Carthage, Write-ins,WRI,0,FALSE
Maine,Chesterville,Donald Trump,REP,460,TRUE
Maine,Chesterville,Joe Biden,DEM,314,FALSE
Maine,Chesterville,Jo Jorgensen,LIB,18,FALSE
Maine,Chesterville,Howie Hawkins,GRN,7,FALSE
Maine,Chesterville,Rocky De La Fuente,ALI,0,FALSE
Maine,Chesterville, Write-ins,WRI,0,FALSE
Maine,Coplin Plt.,Joe Biden,DEM,59,TRUE
Maine,Coplin Plt.,Donald Trump,REP,44,FALSE
Maine,Coplin Plt.,Jo Jorgensen,LIB,5,FALSE
Maine,Coplin Plt.,Howie Hawkins,GRN,2,FALSE
Maine,Coplin Plt.,Rocky De La Fuente,ALI,0,FALSE
Maine,Coplin Plt., Write-ins,WRI,0,FALSE
Maine,Dallas Plt.,Donald Trump,REP,104,TRUE
Maine,Dallas Plt.,Joe Biden,DEM,98,FALSE
Maine,Dallas Plt.,Jo Jorgensen,LIB,4,FALSE
Maine,Dallas Plt.,Rocky De La Fuente,ALI,2,FALSE
Maine,Dallas Plt.,Howie Hawkins,GRN,1,FALSE
Maine,Dallas Plt., Write-ins,WRI,0,FALSE
Maine,Eustis,Donald Trump,REP,255,TRUE
Maine,Eustis,Joe Biden,DEM,173,FALSE
Maine,Eustis,Jo Jorgensen,LIB,12,FALSE
Maine,Eustis,Howie Hawkins,GRN,7,FALSE
Maine,Eustis,Rocky De La Fuente,ALI,0,FALSE
Maine,Eustis, Write-ins,WRI,0,FALSE
Maine,Farmington,Joe Biden,DEM,2225,TRUE
Maine,Farmington,Donald Trump,REP,1541,FALSE
Maine,Farmington,Jo Jorgensen,LIB,80,FALSE
Maine,Farmington,Howie Hawkins,GRN,51,FALSE
Maine,Farmington,Rocky De La Fuente,ALI,9,FALSE
Maine,Farmington, Write-ins,WRI,0,FALSE
Maine,Industry,Donald Trump,REP,253,TRUE
Maine,Industry,Joe Biden,DEM,232,FALSE
Maine,Industry,Howie Hawkins,GRN,10,FALSE
Maine,Industry,Jo Jorgensen,LIB,8,FALSE
Maine,Industry,Rocky De La Fuente,ALI,1,FALSE
Maine,Industry, Write-ins,WRI,0,FALSE
Maine,Jay,Donald Trump,REP,1375,TRUE
Maine,Jay,Joe Biden,DEM,1220,FALSE
Maine,Jay,Jo Jorgensen,LIB,44,FALSE
Maine,Jay,Howie Hawkins,GRN,23,FALSE
Maine,Jay,Rocky De La Fuente,ALI,3,FALSE
Maine,Jay, Write-ins,WRI,0,FALSE
Maine,Kingfield,Donald Trump,REP,444,TRUE
Maine,Kingfield,Joe Biden,DEM,407,FALSE
Maine,Kingfield,Jo Jorgensen,LIB,29,FALSE
Maine,Kingfield,Howie Hawkins,GRN,6,FALSE
Maine,Kingfield,Rocky De La Fuente,ALI,2,FALSE
Maine,Kingfield, Write-ins,WRI,0,FALSE
Maine,New Sharon,Donald Trump,REP,528,TRUE
Maine,New Sharon,Joe Biden,DEM,391,FALSE
Maine,New Sharon,Jo Jorgensen,LIB,23,FALSE
Maine,New Sharon,Howie Hawkins,GRN,12,FALSE
Maine,New Sharon,Rocky De La Fuente,ALI,2,FALSE
Maine,New Sharon, Write-ins,WRI,0,FALSE
Maine,New Vineyard,Donald Trump,REP,293,TRUE
Maine,New Vineyard,Joe Biden,DEM,154,FALSE
Maine,New Vineyard,Jo Jorgensen,LIB,10,FALSE
Maine,New Vineyard,Howie Hawkins,GRN,4,FALSE
Maine,New Vineyard,Rocky De La Fuente,ALI,2,FALSE
Maine,New Vineyard, Write-ins,WRI,0,FALSE
Maine,Phillips,Donald Trump,REP,385,TRUE
Maine,Phillips,Joe Biden,DEM,252,FALSE
Maine,Phillips,Howie Hawkins,GRN,9,FALSE
Maine,Phillips,Jo Jorgensen,LIB,7,FALSE
Maine,Phillips,Rocky De La Fuente,ALI,3,FALSE
Maine,Phillips, Write-ins,WRI,0,FALSE
Maine,Rangeley,Donald Trump,REP,449,TRUE
Maine,Rangeley,Joe Biden,DEM,294,FALSE
Maine,Rangeley,Howie Hawkins,GRN,7,FALSE
Maine,Rangeley,Jo Jorgensen,LIB,7,FALSE
Maine,Rangeley,Rocky De La Fuente,ALI,1,FALSE
Maine,Rangeley, Write-ins,WRI,0,FALSE
Maine,Rangeley Plt.,Donald Trump,REP,86,TRUE
Maine,Rangeley Plt.,Joe Biden,DEM,57,FALSE
Maine,Rangeley Plt.,Rocky De La Fuente,ALI,1,FALSE
Maine,Rangeley Plt.,Jo Jorgensen,LIB,1,FALSE
Maine,Rangeley Plt.,Howie Hawkins,GRN,0,FALSE
Maine,Rangeley Plt., Write-ins,WRI,0,FALSE
Maine,Sandy River Plt.,Joe Biden,DEM,65,TRUE
Maine,Sandy River Plt.,Donald Trump,REP,36,FALSE
Maine,Sandy River Plt.,Jo Jorgensen,LIB,1,FALSE
Maine,Sandy River Plt.,Rocky De La Fuente,ALI,0,FALSE
Maine,Sandy River Plt.,Howie Hawkins,GRN,0,FALSE
Maine,Sandy River Plt., Write-ins,WRI,0,FALSE
Maine,Strong,Donald Trump,REP,526,TRUE
Maine,Strong,Joe Biden,DEM,266,FALSE
Maine,Strong,Jo Jorgensen,LIB,14,FALSE
Maine,Strong,Howie Hawkins,GRN,8,FALSE
Maine,Strong,Rocky De La Fuente,ALI,2,FALSE
Maine,Strong, Write-ins,WRI,0,FALSE
Maine,Temple,Joe Biden,DEM,172,TRUE
Maine,Temple,Donald Trump,REP,155,FALSE
Maine,Temple,Jo Jorgensen,LIB,7,FALSE
Maine,Temple,Howie Hawkins,GRN,2,FALSE
Maine,Temple,Rocky De La Fuente,ALI,0,FALSE
Maine,Temple, Write-ins,WRI,0,FALSE
Maine,Weld,Joe Biden,DEM,149,TRUE
Maine,Weld,Donald Trump,REP,144,FALSE
Maine,Weld,Howie Hawkins,GRN,4,FALSE
Maine,Weld,Rocky De La Fuente,ALI,1,FALSE
Maine,Weld,Jo Jorgensen,LIB,1,FALSE
Maine,Weld, Write-ins,WRI,0,FALSE
Maine,Wilton,Donald Trump,REP,1117,TRUE
Maine,Wilton,Joe Biden,DEM,978,FALSE
Maine,Wilton,Jo Jorgensen,LIB,62,FALSE
Maine,Wilton,Howie Hawkins,GRN,18,FALSE
Maine,Wilton,Rocky De La Fuente,ALI,2,FALSE
Maine,Wilton, Write-ins,WRI,0,FALSE
Maine,Amherst,Donald Trump,REP,115,TRUE
Maine,Amherst,Joe Biden,DEM,64,FALSE
Maine,Amherst,Howie Hawkins,GRN,5,FALSE
Maine,Amherst,Jo Jorgensen,LIB,5,FALSE
Maine,Amherst,Rocky De La Fuente,ALI,0,FALSE
Maine,Amherst, Write-ins,WRI,0,FALSE
Maine,Aurora,Donald Trump,REP,42,TRUE
Maine,Aurora,Joe Biden,DEM,29,FALSE
Maine,Aurora,Howie Hawkins,GRN,1,FALSE
Maine,Aurora,Rocky De La Fuente,ALI,0,FALSE
Maine,Aurora,Jo Jorgensen,LIB,0,FALSE
Maine,Aurora, Write-ins,WRI,0,FALSE
Maine,Bar Harbor,Joe Biden,DEM,2678,TRUE
Maine,Bar Harbor,Donald Trump,REP,804,FALSE
Maine,Bar Harbor,Howie Hawkins,GRN,45,FALSE
Maine,Bar Harbor,Jo Jorgensen,LIB,44,FALSE
Maine,Bar Harbor,Rocky De La Fuente,ALI,5,FALSE
Maine,Bar Harbor, Write-ins,WRI,0,FALSE
Maine,Blue Hill,Joe Biden,DEM,1310,TRUE
Maine,Blue Hill,Donald Trump,REP,624,FALSE
Maine,Blue Hill,Howie Hawkins,GRN,25,FALSE
Maine,Blue Hill,Jo Jorgensen,LIB,15,FALSE
Maine,Blue Hill,Rocky De La Fuente,ALI,3,FALSE
Maine,Blue Hill, Write-ins,WRI,0,FALSE
Maine,Brooklin,Joe Biden,DEM,426,TRUE
Maine,Brooklin,Donald Trump,REP,189,FALSE
Maine,Brooklin,Jo Jorgensen,LIB,5,FALSE
Maine,Brooklin,Howie Hawkins,GRN,4,FALSE
Maine,Brooklin,Rocky De La Fuente,ALI,0,FALSE
Maine,Brooklin, Write-ins,WRI,0,FALSE
Maine,Brooksville,Joe Biden,DEM,450,TRUE
Maine,Brooksville,Donald Trump,REP,219,FALSE
Maine,Brooksville,Howie Hawkins,GRN,12,FALSE
Maine,Brooksville,Jo Jorgensen,LIB,4,FALSE
Maine,Brooksville,Rocky De La Fuente,ALI,1,FALSE
Maine,Brooksville, Write-ins,WRI,0,FALSE
Maine,Bucksport,Donald Trump,REP,1481,TRUE
Maine,Bucksport,Joe Biden,DEM,1278,FALSE
Maine,Bucksport,Jo Jorgensen,LIB,68,FALSE
Maine,Bucksport,Howie Hawkins,GRN,25,FALSE
Maine,Bucksport,Rocky De La Fuente,ALI,3,FALSE
Maine,Bucksport, Write-ins,WRI,0,FALSE
Maine,Castine,Joe Biden,DEM,346,TRUE
Maine,Castine,Donald Trump,REP,136,FALSE
Maine,Castine,Jo Jorgensen,LIB,10,FALSE
Maine,Castine,Howie Hawkins,GRN,6,FALSE
Maine,Castine,Rocky De La Fuente,ALI,1,FALSE
Maine,Castine, Write-ins,WRI,0,FALSE
Maine,Cranberry Isles,Joe Biden,DEM,95,TRUE
Maine,Cranberry Isles,Donald Trump,REP,36,FALSE
Maine,Cranberry Isles,Howie Hawkins,GRN,4,FALSE
Maine,Cranberry Isles,Jo Jorgensen,LIB,2,FALSE
Maine,Cranberry Isles,Rocky De La Fuente,ALI,1,FALSE
Maine,Cranberry Isles, Write-ins,WRI,0,FALSE
Maine,Dedham,Donald Trump,REP,582,TRUE
Maine,Dedham,Joe Biden,DEM,545,FALSE
Maine,Dedham,Jo Jorgensen,LIB,27,FALSE
Maine,Dedham,Howie Hawkins,GRN,11,FALSE
Maine,Dedham,Rocky De La Fuente,ALI,1,FALSE
Maine,Dedham, Write-ins,WRI,1,FALSE
Maine,Deer Isle,Joe Biden,DEM,806,TRUE
Maine,Deer Isle,Donald Trump,REP,496,FALSE
Maine,Deer Isle,Jo Jorgensen,LIB,10,FALSE
Maine,Deer Isle,Howie Hawkins,GRN,9,FALSE
Maine,Deer Isle,Rocky De La Fuente,ALI,2,FALSE
Maine,Deer Isle, Write-ins,WRI,0,FALSE
Maine,Eastbrook,Donald Trump,REP,148,TRUE
Maine,Eastbrook,Joe Biden,DEM,65,FALSE
Maine,Eastbrook,Jo Jorgensen,LIB,5,FALSE
Maine,Eastbrook,Howie Hawkins,GRN,4,FALSE
Maine,Eastbrook,Rocky De La Fuente,ALI,0,FALSE
Maine,Eastbrook, Write-ins,WRI,0,FALSE
Maine,Ellsworth,Donald Trump,REP,2359,TRUE
Maine,Ellsworth,Joe Biden,DEM,2274,FALSE
Maine,Ellsworth,Jo Jorgensen,LIB,121,FALSE
Maine,Ellsworth,Howie Hawkins,GRN,60,FALSE
Maine,Ellsworth,Rocky De La Fuente,ALI,10,FALSE
Maine,Ellsworth, Write-ins,WRI,0,FALSE
Maine,Franklin,Donald Trump,REP,459,TRUE
Maine,Franklin,Joe Biden,DEM,381,FALSE
Maine,Franklin,Howie Hawkins,GRN,11,FALSE
Maine,Franklin,Jo Jorgensen,LIB,8,FALSE
Maine,Franklin,Rocky De La Fuente,ALI,1,FALSE
Maine,Franklin, Write-ins,WRI,1,FALSE
Maine,Frenchboro,Donald Trump,REP,19,TRUE
Maine,Frenchboro,Joe Biden,DEM,12,FALSE
Maine,Frenchboro,Rocky De La Fuente,ALI,0,FALSE
Maine,Frenchboro,Howie Hawkins,GRN,0,FALSE
Maine,Frenchboro,Jo Jorgensen,LIB,0,FALSE
Maine,Frenchboro, Write-ins,WRI,0,FALSE
Maine,Gouldsboro,Donald Trump,REP,612,TRUE
Maine,Gouldsboro,Joe Biden,DEM,477,FALSE
Maine,Gouldsboro,Jo Jorgensen,LIB,17,FALSE
Maine,Gouldsboro,Howie Hawkins,GRN,9,FALSE
Maine,Gouldsboro,Rocky De La Fuente,ALI,1,FALSE
Maine,Gouldsboro, Write-ins,WRI,0,FALSE
Maine,Great Pond,Donald Trump,REP,25,TRUE
Maine,Great Pond,Joe Biden,DEM,18,FALSE
Maine,Great Pond,Rocky De La Fuente,ALI,0,FALSE
Maine,Great Pond,Howie Hawkins,GRN,0,FALSE
Maine,Great Pond,Jo Jorgensen,LIB,0,FALSE
Maine,Great Pond, Write-ins,WRI,0,FALSE
Maine,Hancock,Donald Trump,REP,778,TRUE
Maine,Hancock,Joe Biden,DEM,659,FALSE
Maine,Hancock,Jo Jorgensen,LIB,23,FALSE
Maine,Hancock,Howie Hawkins,GRN,11,FALSE
Maine,Hancock,Rocky De La Fuente,ALI,1,FALSE
Maine,Hancock, Write-ins,WRI,0,FALSE
Maine,Lamoine,Joe Biden,DEM,616,TRUE
Maine,Lamoine,Donald Trump,REP,576,FALSE
Maine,Lamoine,Jo Jorgensen,LIB,9,FALSE
Maine,Lamoine,Howie Hawkins,GRN,8,FALSE
Maine,Lamoine,Rocky De La Fuente,ALI,2,FALSE
Maine,Lamoine, Write-ins,WRI,0,FALSE
Maine,Mariaville,Donald Trump,REP,191,TRUE
Maine,Mariaville,Joe Biden,DEM,113,FALSE
Maine,Mariaville,Jo Jorgensen,LIB,6,FALSE
Maine,Mariaville,Rocky De La Fuente,ALI,0,FALSE
Maine,Mariaville,Howie Hawkins,GRN,0,FALSE
Maine,Mariaville, Write-ins,WRI,0,FALSE
Maine,Mount Desert,Joe Biden,DEM,1066,TRUE
Maine,Mount Desert,Donald Trump,REP,381,FALSE
Maine,Mount Desert,Jo Jorgensen,LIB,24,FALSE
Maine,Mount Desert,Howie Hawkins,GRN,17,FALSE
Maine,Mount Desert, Write-ins,WRI,2,FALSE
Maine,Mount Desert,Rocky De La Fuente,ALI,0,FALSE
Maine,Orland,Donald Trump,REP,693,TRUE
Maine,Orland,Joe Biden,DEM,691,FALSE
Maine,Orland,Jo Jorgensen,LIB,24,FALSE
Maine,Orland,Howie Hawkins,GRN,13,FALSE
Maine,Orland,Rocky De La Fuente,ALI,3,FALSE
Maine,Orland, Write-ins,WRI,0,FALSE
Maine,Osborn,Donald Trump,REP,31,TRUE
Maine,Osborn,Joe Biden,DEM,10,FALSE
Maine,Osborn,Jo Jorgensen,LIB,2,FALSE
Maine,Osborn,Howie Hawkins,GRN,1,FALSE
Maine,Osborn,Rocky De La Fuente,ALI,0,FALSE
Maine,Osborn, Write-ins,WRI,0,FALSE
Maine,Otis,Donald Trump,REP,323,TRUE
Maine,Otis,Joe Biden,DEM,153,FALSE
Maine,Otis,Howie Hawkins,GRN,4,FALSE
Maine,Otis,Jo Jorgensen,LIB,4,FALSE
Maine,Otis,Rocky De La Fuente,ALI,0,FALSE
Maine,Otis, Write-ins,WRI,0,FALSE
Maine,Penobscot,Joe Biden,DEM,512,TRUE
Maine,Penobscot,Donald Trump,REP,306,FALSE
Maine,Penobscot,Howie Hawkins,GRN,14,FALSE
Maine,Penobscot,Jo Jorgensen,LIB,12,FALSE
Maine,Penobscot,Rocky De La Fuente,ALI,1,FALSE
Maine,Penobscot, Write-ins,WRI,0,FALSE
Maine,Sedgwick,Joe Biden,DEM,511,TRUE
Maine,Sedgwick,Donald Trump,REP,321,FALSE
Maine,Sedgwick,Howie Hawkins,GRN,6,FALSE
Maine,Sedgwick,Jo Jorgensen,LIB,5,FALSE
Maine,Sedgwick,Rocky De La Fuente,ALI,0,FALSE
Maine,Sedgwick, Write-ins,WRI,0,FALSE
Maine,Sorrento,Donald Trump,REP,94,TRUE
Maine,Sorrento,Joe Biden,DEM,89,FALSE
Maine,Sorrento,Howie Hawkins,GRN,4,FALSE
Maine,Sorrento,Jo Jorgensen,LIB,2,FALSE
Maine,Sorrento,Rocky De La Fuente,ALI,0,FALSE
Maine,Sorrento, Write-ins,WRI,0,FALSE
Maine,Southwest Harbor,Joe Biden,DEM,728,TRUE
Maine,Southwest Harbor,Donald Trump,REP,381,FALSE
Maine,Southwest Harbor,Jo Jorgensen,LIB,14,FALSE
Maine,Southwest Harbor,Howie Hawkins,GRN,13,FALSE
Maine,Southwest Harbor,Rocky De La Fuente,ALI,1,FALSE
Maine,Southwest Harbor, Write-ins,WRI,0,FALSE
Maine,Stonington,Joe Biden,DEM,409,TRUE
Maine,Stonington,Donald Trump,REP,220,FALSE
Maine,Stonington,Howie Hawkins,GRN,9,FALSE
Maine,Stonington,Jo Jorgensen,LIB,2,FALSE
Maine,Stonington,Rocky De La Fuente,ALI,0,FALSE
Maine,Stonington, Write-ins,WRI,0,FALSE
Maine,Sullivan,Joe Biden,DEM,354,TRUE
Maine,Sullivan,Donald Trump,REP,348,FALSE
Maine,Sullivan,Jo Jorgensen,LIB,16,FALSE
Maine,Sullivan,Howie Hawkins,GRN,5,FALSE
Maine,Sullivan,Rocky De La Fuente,ALI,1,FALSE
Maine,Sullivan, Write-ins,WRI,0,FALSE
Maine,Surry,Joe Biden,DEM,596,TRUE
Maine,Surry,Donald Trump,REP,464,FALSE
Maine,Surry,Jo Jorgensen,LIB,18,FALSE
Maine,Surry,Howie Hawkins,GRN,13,FALSE
Maine,Surry,Rocky De La Fuente,ALI,0,FALSE
Maine,Surry, Write-ins,WRI,0,FALSE
Maine,Swan's Island,Joe Biden,DEM,132,TRUE
Maine,Swan's Island,Donald Trump,REP,129,FALSE
Maine,Swan's Island,Jo Jorgensen,LIB,3,FALSE
Maine,Swan's Island,Howie Hawkins,GRN,2,FALSE
Maine,Swan's Island,Rocky De La Fuente,ALI,0,FALSE
Maine,Swan's Island, Write-ins,WRI,0,FALSE
Maine,Tremont,Joe Biden,DEM,590,TRUE
Maine,Tremont,Donald Trump,REP,422,FALSE
Maine,Tremont,Jo Jorgensen,LIB,19,FALSE
Maine,Tremont,Howie Hawkins,GRN,11,FALSE
Maine,Tremont,Rocky De La Fuente,ALI,1,FALSE
Maine,Tremont, Write-ins,WRI,0,FALSE
Maine,Trenton,Joe Biden,DEM,509,TRUE
Maine,Trenton,Donald Trump,REP,451,FALSE
Maine,Trenton,Jo Jorgensen,LIB,13,FALSE
Maine,Trenton,Howie Hawkins,GRN,12,FALSE
Maine,Trenton,Rocky De La Fuente,ALI,2,FALSE
Maine,Trenton, Write-ins,WRI,0,FALSE
Maine,Verona,Donald Trump,REP,182,TRUE
Maine,Verona,Joe Biden,DEM,158,FALSE
Maine,Verona,Howie Hawkins,GRN,6,FALSE
Maine,Verona,Jo Jorgensen,LIB,4,FALSE
Maine,Verona,Rocky De La Fuente,ALI,0,FALSE
Maine,Verona, Write-ins,WRI,0,FALSE
Maine,Waltham,Donald Trump,REP,159,TRUE
Maine,Waltham,Joe Biden,DEM,68,FALSE
Maine,Waltham,Jo Jorgensen,LIB,3,FALSE
Maine,Waltham,Rocky De La Fuente,ALI,0,FALSE
Maine,Waltham,Howie Hawkins,GRN,0,FALSE
Maine,Waltham, Write-ins,WRI,0,FALSE
Maine,Winter Harbor,Donald Trump,REP,179,TRUE
Maine,Winter Harbor,Joe Biden,DEM,145,FALSE
Maine,Winter Harbor,Jo Jorgensen,LIB,5,FALSE
Maine,Winter Harbor,Rocky De La Fuente,ALI,0,FALSE
Maine,Winter Harbor,Howie Hawkins,GRN,0,FALSE
Maine,Winter Harbor, Write-ins,WRI,0,FALSE
Maine,Albion,Donald Trump,REP,801,TRUE
Maine,Albion,Joe Biden,DEM,385,FALSE
Maine,Albion,Jo Jorgensen,LIB,21,FALSE
Maine,Albion,Howie Hawkins,GRN,10,FALSE
Maine,Albion,Rocky De La Fuente,ALI,2,FALSE
Maine,Albion, Write-ins,WRI,0,FALSE
Maine,Augusta,Joe Biden,DEM,5248,TRUE
Maine,Augusta,Donald Trump,REP,4155,FALSE
Maine,Augusta,Jo Jorgensen,LIB,218,FALSE
Maine,Augusta,Howie Hawkins,GRN,104,FALSE
Maine,Augusta,Rocky De La Fuente,ALI,11,FALSE
Maine,Augusta, Write-ins,WRI,2,FALSE
Maine,Belgrade,Donald Trump,REP,1166,TRUE
Maine,Belgrade,Joe Biden,DEM,994,FALSE
Maine,Belgrade,Jo Jorgensen,LIB,35,FALSE
Maine,Belgrade,Howie Hawkins,GRN,19,FALSE
Maine,Belgrade,Rocky De La Fuente,ALI,1,FALSE
Maine,Belgrade, Write-ins,WRI,1,FALSE
Maine,Benton,Donald Trump,REP,984,TRUE
Maine,Benton,Joe Biden,DEM,607,FALSE
Maine,Benton,Jo Jorgensen,LIB,24,FALSE
Maine,Benton,Howie Hawkins,GRN,15,FALSE
Maine,Benton,Rocky De La Fuente,ALI,2,FALSE
Maine,Benton, Write-ins,WRI,0,FALSE
Maine,Chelsea,Donald Trump,REP,917,TRUE
Maine,Chelsea,Joe Biden,DEM,605,FALSE
Maine,Chelsea,Jo Jorgensen,LIB,23,FALSE
Maine,Chelsea,Howie Hawkins,GRN,15,FALSE
Maine,Chelsea,Rocky De La Fuente,ALI,3,FALSE
Maine,Chelsea, Write-ins,WRI,0,FALSE
Maine,China,Donald Trump,REP,1395,TRUE
Maine,China,Joe Biden,DEM,1107,FALSE
Maine,China,Jo Jorgensen,LIB,54,FALSE
Maine,China,Howie Hawkins,GRN,28,FALSE
Maine,China,Rocky De La Fuente,ALI,3,FALSE
Maine,China, Write-ins,WRI,3,FALSE
Maine,Clinton,Donald Trump,REP,1098,TRUE
Maine,Clinton,Joe Biden,DEM,641,FALSE
Maine,Clinton,Jo Jorgensen,LIB,34,FALSE
Maine,Clinton,Howie Hawkins,GRN,14,FALSE
Maine,Clinton,Rocky De La Fuente,ALI,1,FALSE
Maine,Clinton, Write-ins,WRI,0,FALSE
Maine,Farmingdale,Joe Biden,DEM,903,TRUE
Maine,Farmingdale,Donald Trump,REP,768,FALSE
Maine,Farmingdale,Jo Jorgensen,LIB,42,FALSE
Maine,Farmingdale,Howie Hawkins,GRN,19,FALSE
Maine,Farmingdale,Rocky De La Fuente,ALI,6,FALSE
Maine,Farmingdale, Write-ins,WRI,0,FALSE
Maine,Fayette,Donald Trump,REP,421,TRUE
Maine,Fayette,Joe Biden,DEM,388,FALSE
Maine,Fayette,Jo Jorgensen,LIB,15,FALSE
Maine,Fayette,Howie Hawkins,GRN,4,FALSE
Maine,Fayette,Rocky De La Fuente,ALI,2,FALSE
Maine,Fayette, Write-ins,WRI,0,FALSE
Maine,Gardiner,Joe Biden,DEM,1694,TRUE
Maine,Gardiner,Donald Trump,REP,1471,FALSE
Maine,Gardiner,Jo Jorgensen,LIB,72,FALSE
Maine,Gardiner,Howie Hawkins,GRN,37,FALSE
Maine,Gardiner,Rocky De La Fuente,ALI,4,FALSE
Maine,Gardiner, Write-ins,WRI,0,FALSE
Maine,Hallowell,Joe Biden,DEM,1277,TRUE
Maine,Hallowell,Donald Trump,REP,445,FALSE
Maine,Hallowell,Jo Jorgensen,LIB,29,FALSE
Maine,Hallowell,Howie Hawkins,GRN,26,FALSE
Maine,Hallowell,Rocky De La Fuente,ALI,3,FALSE
Maine,Hallowell, Write-ins,WRI,0,FALSE
Maine,Litchfield,Donald Trump,REP,1260,TRUE
Maine,Litchfield,Joe Biden,DEM,850,FALSE
Maine,Litchfield,Jo Jorgensen,LIB,44,FALSE
Maine,Litchfield,Howie Hawkins,GRN,19,FALSE
Maine,Litchfield,Rocky De La Fuente,ALI,4,FALSE
Maine,Litchfield, Write-ins,WRI,0,FALSE
Maine,Manchester,Joe Biden,DEM,832,TRUE
Maine,Manchester,Donald Trump,REP,810,FALSE
Maine,Manchester,Jo Jorgensen,LIB,34,FALSE
Maine,Manchester,Howie Hawkins,GRN,13,FALSE
Maine,Manchester,Rocky De La Fuente,ALI,1,FALSE
Maine,Manchester, Write-ins,WRI,0,FALSE
Maine,Monmouth,Donald Trump,REP,1397,TRUE
Maine,Monmouth,Joe Biden,DEM,1079,FALSE
Maine,Monmouth,Jo Jorgensen,LIB,66,FALSE
Maine,Monmouth,Howie Hawkins,GRN,33,FALSE
Maine,Monmouth,Rocky De La Fuente,ALI,3,FALSE
Maine,Monmouth, Write-ins,WRI,0,FALSE
Maine,Mount Vernon,Joe Biden,DEM,576,TRUE
Maine,Mount Vernon,Donald Trump,REP,560,FALSE
Maine,Mount Vernon,Jo Jorgensen,LIB,16,FALSE
Maine,Mount Vernon,Howie Hawkins,GRN,6,FALSE
Maine,Mount Vernon,Rocky De La Fuente,ALI,0,FALSE
Maine,Mount Vernon, Write-ins,WRI,0,FALSE
Maine,Oakland,Donald Trump,REP,1853,TRUE
Maine,Oakland,Joe Biden,DEM,1681,FALSE
Maine,Oakland,Jo Jorgensen,LIB,54,FALSE
Maine,Oakland,Howie Hawkins,GRN,37,FALSE
Maine,Oakland,Rocky De La Fuente,ALI,3,FALSE
Maine,Oakland, Write-ins,WRI,0,FALSE
Maine,Pittston,Donald Trump,REP,1034,TRUE
Maine,Pittston,Joe Biden,DEM,691,FALSE
Maine,Pittston,Jo Jorgensen,LIB,26,FALSE
Maine,Pittston,Howie Hawkins,GRN,24,FALSE
Maine,Pittston,Rocky De La Fuente,ALI,3,FALSE
Maine,Pittston, Write-ins,WRI,0,FALSE
Maine,Randolph,Donald Trump,REP,533,TRUE
Maine,Randolph,Joe Biden,DEM,467,FALSE
Maine,Randolph,Jo Jorgensen,LIB,16,FALSE
Maine,Randolph,Howie Hawkins,GRN,13,FALSE
Maine,Randolph,Rocky De La Fuente,ALI,0,FALSE
Maine,Randolph, Write-ins,WRI,0,FALSE
Maine,Readfield,Joe Biden,DEM,943,TRUE
Maine,Readfield,Donald Trump,REP,818,FALSE
Maine,Readfield,Jo Jorgensen,LIB,40,FALSE
Maine,Readfield,Howie Hawkins,GRN,16,FALSE
Maine,Readfield,Rocky De La Fuente,ALI,3,FALSE
Maine,Readfield, Write-ins,WRI,0,FALSE
Maine,Rome,Donald Trump,REP,350,TRUE
Maine,Rome,Joe Biden,DEM,340,FALSE
Maine,Rome,Jo Jorgensen,LIB,11,FALSE
Maine,Rome,Howie Hawkins,GRN,10,FALSE
Maine,Rome,Rocky De La Fuente,ALI,2,FALSE
Maine,Rome, Write-ins,WRI,0,FALSE
Maine,Sidney,Donald Trump,REP,1688,TRUE
Maine,Sidney,Joe Biden,DEM,1184,FALSE
Maine,Sidney,Jo Jorgensen,LIB,60,FALSE
Maine,Sidney,Howie Hawkins,GRN,17,FALSE
Maine,Sidney,Rocky De La Fuente,ALI,5,FALSE
Maine,Sidney, Write-ins,WRI,0,FALSE
Maine,Unity,Donald Trump,REP,455,TRUE
Maine,Unity,Joe Biden,DEM,444,FALSE
Maine,Unity,Howie Hawkins,GRN,25,FALSE
Maine,Unity,Jo Jorgensen,LIB,23,FALSE
Maine,Unity,Rocky De La Fuente,ALI,3,FALSE
Maine,Unity, Write-ins,WRI,0,FALSE
Maine,Vassalboro,Donald Trump,REP,1394,TRUE
Maine,Vassalboro,Joe Biden,DEM,1075,FALSE
